# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
9.78116061e+00 7.47365907e-04 6.95475889e-05
9.74740226e+00 7.57700785e-04 6.95475889e-05
9.71376041e+00 7.62741765e-04 6.95475889e-05
9.68023467e+00 6.90705107e-04 6.95475889e-05
9.64682465e+00 7.51756026e-04 6.95475889e-05
9.61352993e+00 7.15656877e-04 6.95475889e-05
9.58035013e+00 6.62613638e-04 6.95475889e-05
9.54728484e+00 7.41403885e-04 6.95475889e-05
9.51433367e+00 7.93547004e-04 6.95475889e-05
9.48149623e+00 7.38415839e-04 6.95475889e-05
9.44877213e+00 7.05792995e-04 6.95475889e-05
9.41616096e+00 7.97130931e-04 6.95475889e-05
9.38366235e+00 7.59429683e-04 6.95475889e-05
9.35127591e+00 7.46253314e-04 6.95475889e-05
9.31900124e+00 6.95461839e-04 6.95475889e-05
9.28683796e+00 7.66415921e-04 6.95475889e-05
9.25478569e+00 7.23873614e-04 6.95475889e-05
9.22284404e+00 6.90685425e-04 6.95475889e-05
9.19101264e+00 7.52540282e-04 6.95475889e-05
9.15929110e+00 7.70515166e-04 6.95475889e-05
9.12767904e+00 6.37857761e-04 6.95475889e-05
9.09617608e+00 7.33938894e-04 6.95475889e-05
9.06478186e+00 7.17150761e-04 6.95475889e-05
9.03349598e+00 7.40298294e-04 6.95475889e-05
9.00231809e+00 7.23059251e-04 6.95475889e-05
8.97124780e+00 7.67762284e-04 6.95475889e-05
8.94028475e+00 7.07698692e-04 6.95475889e-05
8.90942856e+00 7.16651980e-04 6.95475889e-05
8.87867887e+00 7.28255159e-04 6.95475889e-05
8.84803530e+00 8.72131115e-04 6.95475889e-05
8.81749750e+00 7.94099261e-04 6.95475889e-05
8.78706510e+00 7.71729725e-04 6.95475889e-05
8.75673773e+00 7.84989556e-04 6.95475889e-05
8.72651503e+00 6.97791277e-04 6.95475889e-05
8.69639664e+00 7.84405353e-04 6.95475889e-05
8.66638219e+00 7.83399280e-04 6.95475889e-05
8.63647134e+00 7.25386257e-04 6.95475889e-05
8.60666373e+00 7.16807401e-04 6.95475889e-05
