# wavelength(micron) (Rp/Rs)^2 std((Rp/Rs)^2)
3.45162728e+00 1.10594637e-04 2.23548564e-06
3.41745276e+00 1.10994877e-04 2.23548564e-06
3.38361659e+00 1.10742545e-04 2.23548564e-06
3.35011544e+00 1.11289046e-04 2.23548564e-06
3.31694598e+00 1.11407170e-04 2.23548564e-06
3.28410493e+00 1.11335928e-04 2.23548564e-06
3.25158904e+00 1.11470579e-04 2.23548564e-06
3.21939509e+00 1.11640506e-04 2.23548564e-06
3.18751989e+00 1.12457393e-04 2.23548564e-06
3.15596028e+00 1.12186891e-04 2.23548564e-06
3.12471315e+00 1.12401254e-04 2.23548564e-06
3.09377540e+00 1.12647089e-04 2.23548564e-06
3.06314396e+00 1.12963560e-04 2.23548564e-06
3.03281580e+00 1.13518039e-04 2.23548564e-06
3.00278792e+00 1.13343715e-04 2.23548564e-06
2.97305735e+00 1.13357813e-04 2.23548564e-06
2.94362114e+00 1.13519597e-04 2.23548564e-06
2.91447637e+00 1.13614949e-04 2.23548564e-06
2.88562017e+00 1.13158367e-04 2.23548564e-06
2.85704967e+00 1.13409400e-04 2.23548564e-06
2.82876205e+00 1.13764067e-04 2.23548564e-06
2.80075451e+00 1.13292661e-04 2.23548564e-06
2.77302427e+00 1.13548704e-04 2.23548564e-06
2.74556858e+00 1.13441832e-04 2.23548564e-06
2.71838473e+00 1.13345341e-04 2.23548564e-06
2.69147003e+00 1.13189478e-04 2.23548564e-06
2.66482181e+00 1.12525607e-04 2.23548564e-06
2.63843744e+00 1.12813133e-04 2.23548564e-06
2.61231430e+00 1.12655790e-04 2.23548564e-06
2.58644980e+00 1.12986438e-04 2.23548564e-06
2.56084139e+00 1.12774341e-04 2.23548564e-06
2.53548652e+00 1.12775079e-04 2.23548564e-06
2.51038269e+00 1.12613336e-04 2.23548564e-06
2.48552742e+00 1.12102846e-04 2.23548564e-06
2.46091824e+00 1.11430181e-04 2.23548564e-06
2.43655271e+00 1.11057033e-04 2.23548564e-06
2.41242843e+00 1.10548137e-04 2.23548564e-06
2.38854300e+00 1.10114671e-04 2.23548564e-06
2.36489405e+00 1.09858852e-04 2.23548564e-06
2.34147926e+00 1.09517511e-04 2.23548564e-06
2.31829630e+00 1.09341477e-04 2.23548564e-06
2.29534287e+00 1.09308358e-04 2.23548564e-06
2.27261670e+00 1.09214105e-04 2.23548564e-06
2.25011555e+00 1.09111606e-04 2.23548564e-06
2.22783718e+00 1.09097976e-04 2.23548564e-06
2.20577938e+00 1.08978599e-04 2.23548564e-06
2.18393998e+00 1.08941349e-04 2.23548564e-06
2.16231681e+00 1.09102818e-04 2.23548564e-06
2.14090774e+00 1.09304829e-04 2.23548564e-06
2.11971063e+00 1.09507722e-04 2.23548564e-06
2.09872340e+00 1.09800882e-04 2.23548564e-06
2.07794396e+00 1.10158650e-04 2.23548564e-06
2.05737025e+00 1.10651216e-04 2.23548564e-06
2.03700025e+00 1.10961918e-04 2.23548564e-06
2.01683193e+00 1.11214789e-04 2.23548564e-06
1.99686330e+00 1.11271681e-04 2.23548564e-06
1.97709238e+00 1.11419043e-04 2.23548564e-06
1.95751720e+00 1.11474008e-04 2.23548564e-06
1.93813585e+00 1.11253217e-04 2.23548564e-06
1.91894638e+00 1.11082051e-04 2.23548564e-06
1.89994691e+00 1.10976158e-04 2.23548564e-06
1.88113556e+00 1.11687762e-04 2.23548564e-06
1.86251045e+00 1.12067437e-04 2.23548564e-06
1.84406975e+00 1.11526748e-04 2.23548564e-06
1.82581164e+00 1.11186936e-04 2.23548564e-06
1.80773430e+00 1.11098502e-04 2.23548564e-06
1.78983594e+00 1.10820222e-04 2.23548564e-06
1.77211479e+00 1.10251007e-04 2.23548564e-06
1.75456910e+00 1.09664237e-04 2.23548564e-06
1.73719713e+00 1.09244113e-04 2.23548564e-06
1.71999715e+00 1.08969620e-04 2.23548564e-06
1.70296748e+00 1.08071192e-04 2.23548564e-06
1.68610642e+00 1.07720478e-04 2.23548564e-06
1.66941229e+00 1.07966687e-04 2.23548564e-06
1.65288346e+00 1.07875624e-04 2.23548564e-06
1.63651828e+00 1.07946781e-04 2.23548564e-06
1.62031512e+00 1.08198112e-04 2.23548564e-06
1.60427240e+00 1.08508064e-04 2.23548564e-06
1.58838851e+00 1.08879346e-04 2.23548564e-06
1.57266190e+00 1.09108071e-04 2.23548564e-06
