# wavelength(micron) (Rp/Rs)^2 std((Rp/Rs)^2)
1.48151865e+00 1.11061773e-04 2.25020036e-06
1.46685014e+00 1.11151181e-04 2.25020036e-06
1.45232688e+00 1.11509874e-04 2.25020036e-06
1.43794740e+00 1.11655663e-04 2.25020036e-06
1.42371030e+00 1.11801757e-04 2.25020036e-06
1.40961416e+00 1.11482021e-04 2.25020036e-06
1.39565758e+00 1.11338109e-04 2.25020036e-06
1.38183919e+00 1.11298140e-04 2.25020036e-06
1.36815761e+00 1.11652675e-04 2.25020036e-06
1.35461150e+00 1.11191096e-04 2.25020036e-06
1.34119950e+00 1.11099637e-04 2.25020036e-06
1.32792030e+00 1.08524623e-04 2.25020036e-06
1.31477257e+00 1.07643685e-04 2.25020036e-06
1.30175502e+00 1.07324121e-04 2.25020036e-06
1.28886636e+00 1.07085120e-04 2.25020036e-06
1.27610531e+00 1.07088810e-04 2.25020036e-06
1.26347060e+00 1.06978989e-04 2.25020036e-06
1.25096099e+00 1.06936491e-04 2.25020036e-06
1.23857524e+00 1.07277890e-04 2.25020036e-06
1.22631212e+00 1.07533220e-04 2.25020036e-06
1.21417041e+00 1.07737506e-04 2.25020036e-06
1.20214892e+00 1.08098305e-04 2.25020036e-06
1.19024646e+00 1.08388467e-04 2.25020036e-06
1.17846184e+00 1.08884888e-04 2.25020036e-06
1.16679390e+00 1.08913338e-04 2.25020036e-06
1.15524149e+00 1.08852954e-04 2.25020036e-06
1.14380345e+00 1.08617039e-04 2.25020036e-06
1.13247867e+00 1.08932045e-04 2.25020036e-06
1.12126601e+00 1.08450648e-04 2.25020036e-06
1.11016436e+00 1.08409043e-04 2.25020036e-06
1.09917264e+00 1.07787161e-04 2.25020036e-06
1.08828974e+00 1.06773192e-04 2.25020036e-06
1.07751459e+00 1.05942162e-04 2.25020036e-06
1.06684613e+00 1.05884432e-04 2.25020036e-06
1.05628330e+00 1.05953763e-04 2.25020036e-06
1.04582505e+00 1.06036445e-04 2.25020036e-06
1.03547034e+00 1.06207240e-04 2.25020036e-06
1.02521816e+00 1.06592506e-04 2.25020036e-06
1.01506749e+00 1.06753458e-04 2.25020036e-06
1.00501732e+00 1.07082451e-04 2.25020036e-06
9.95066649e-01 1.07448429e-04 2.25020036e-06
9.85214504e-01 1.07762024e-04 2.25020036e-06
9.75459905e-01 1.07869457e-04 2.25020036e-06
9.65801886e-01 1.07889779e-04 2.25020036e-06
9.56239491e-01 1.07894214e-04 2.25020036e-06
9.46771773e-01 1.07904135e-04 2.25020036e-06
9.37397795e-01 1.08187865e-04 2.25020036e-06
9.28116629e-01 1.07934617e-04 2.25020036e-06
9.18927355e-01 1.06558844e-04 2.25020036e-06
9.09829065e-01 1.06101317e-04 2.25020036e-06
9.00820856e-01 1.06227009e-04 2.25020036e-06
8.91901838e-01 1.06049266e-04 2.25020036e-06
8.83071126e-01 1.05521862e-04 2.25020036e-06
8.74327848e-01 1.05610457e-04 2.25020036e-06
8.65671137e-01 1.05711731e-04 2.25020036e-06
8.57100135e-01 1.05830400e-04 2.25020036e-06
8.48613995e-01 1.06072645e-04 2.25020036e-06
8.40211877e-01 1.06170931e-04 2.25020036e-06
8.31892947e-01 1.06212510e-04 2.25020036e-06
8.23656383e-01 1.06211000e-04 2.25020036e-06
8.15501370e-01 1.06280086e-04 2.25020036e-06
8.07427099e-01 1.06029679e-04 2.25020036e-06
7.99432771e-01 1.05758710e-04 2.25020036e-06
7.91517595e-01 1.05742541e-04 2.25020036e-06
7.83680787e-01 1.05766203e-04 2.25020036e-06
7.75921571e-01 1.05774897e-04 2.25020036e-06
7.68239180e-01 1.05827598e-04 2.25020036e-06
