# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
8.87867887e+00 2.72997445e-02 1.34384372e-03
8.84803530e+00 2.72253438e-02 1.34384372e-03
8.81749750e+00 2.77851757e-02 1.34384372e-03
8.78706510e+00 2.74863506e-02 1.34384372e-03
8.75673773e+00 2.75988390e-02 1.34384372e-03
8.72651503e+00 2.73825317e-02 1.34384372e-03
8.69639664e+00 2.74086692e-02 1.34384372e-03
8.66638219e+00 2.74490213e-02 1.34384372e-03
8.63647134e+00 2.73907492e-02 1.34384372e-03
8.60666373e+00 2.74065799e-02 1.34384372e-03
8.57695899e+00 2.76387670e-02 1.34384372e-03
8.54735677e+00 2.76002170e-02 1.34384372e-03
8.51785672e+00 2.75832293e-02 1.34384372e-03
8.48845848e+00 2.76172634e-02 1.34384372e-03
8.45916171e+00 2.75950774e-02 1.34384372e-03
8.42996605e+00 2.76819626e-02 1.34384372e-03
8.40087116e+00 2.76108094e-02 1.34384372e-03
8.37187669e+00 2.77845384e-02 1.34384372e-03
8.34298228e+00 2.78912558e-02 1.34384372e-03
8.31418760e+00 2.77275445e-02 1.34384372e-03
8.28549231e+00 2.75828400e-02 1.34384372e-03
8.25689604e+00 2.77449355e-02 1.34384372e-03
8.22839848e+00 2.77728421e-02 1.34384372e-03
8.19999927e+00 2.76931321e-02 1.34384372e-03
8.17169808e+00 2.77251755e-02 1.34384372e-03
8.14349456e+00 2.75165240e-02 1.34384372e-03
8.11538839e+00 2.76952793e-02 1.34384372e-03
8.08737922e+00 2.78292477e-02 1.34384372e-03
8.05946672e+00 2.76688923e-02 1.34384372e-03
8.03165056e+00 2.76728252e-02 1.34384372e-03
8.00393040e+00 2.75158171e-02 1.34384372e-03
7.97630591e+00 2.78809366e-02 1.34384372e-03
7.94877676e+00 2.73482952e-02 1.34384372e-03
7.92134263e+00 2.76287836e-02 1.34384372e-03
7.89400319e+00 2.78800564e-02 1.34384372e-03
7.86675810e+00 2.76971441e-02 1.34384372e-03
7.83960704e+00 2.76797892e-02 1.34384372e-03
7.81254969e+00 2.76845144e-02 1.34384372e-03
7.78558573e+00 2.75910081e-02 1.34384372e-03
7.75871483e+00 2.79752242e-02 1.34384372e-03
7.73193667e+00 2.77240830e-02 1.34384372e-03
7.70525093e+00 2.75952890e-02 1.34384372e-03
7.67865730e+00 2.77723613e-02 1.34384372e-03
7.65215545e+00 2.76329406e-02 1.34384372e-03
7.62574506e+00 2.78998776e-02 1.34384372e-03
7.59942583e+00 2.80291672e-02 1.34384372e-03
7.57319744e+00 2.77061191e-02 1.34384372e-03
7.54705957e+00 2.75200899e-02 1.34384372e-03
7.52101191e+00 2.76218824e-02 1.34384372e-03
7.49505415e+00 2.77255802e-02 1.34384372e-03
7.46918598e+00 2.76225214e-02 1.34384372e-03
7.44340709e+00 2.75311347e-02 1.34384372e-03
7.41771717e+00 2.77420407e-02 1.34384372e-03
7.39211592e+00 2.74301998e-02 1.34384372e-03
7.36660303e+00 2.80279938e-02 1.34384372e-03
7.34117819e+00 2.78777033e-02 1.34384372e-03
7.31584110e+00 2.77448538e-02 1.34384372e-03
7.29059146e+00 2.77563421e-02 1.34384372e-03
7.26542897e+00 2.78148237e-02 1.34384372e-03
7.24035332e+00 2.78379941e-02 1.34384372e-03
7.21536422e+00 2.77038676e-02 1.34384372e-03
7.19046136e+00 2.75207294e-02 1.34384372e-03
7.16564445e+00 2.78191762e-02 1.34384372e-03
7.14091319e+00 2.78715790e-02 1.34384372e-03
7.11626729e+00 2.80885055e-02 1.34384372e-03
7.09170646e+00 2.79317152e-02 1.34384372e-03
7.06723039e+00 2.77196495e-02 1.34384372e-03
7.04283879e+00 2.77886141e-02 1.34384372e-03
7.01853138e+00 2.79425308e-02 1.34384372e-03
6.99430787e+00 2.76704165e-02 1.34384372e-03
6.97016796e+00 2.77595150e-02 1.34384372e-03
6.94611136e+00 2.79225117e-02 1.34384372e-03
6.92213779e+00 2.79671642e-02 1.34384372e-03
6.89824697e+00 2.79737249e-02 1.34384372e-03
6.87443860e+00 2.80782714e-02 1.34384372e-03
6.85071240e+00 2.77886514e-02 1.34384372e-03
6.82706809e+00 2.80612339e-02 1.34384372e-03
6.80350538e+00 2.79889513e-02 1.34384372e-03
6.78002400e+00 2.80561008e-02 1.34384372e-03
6.75662366e+00 2.80839295e-02 1.34384372e-03
6.73330408e+00 2.78250204e-02 1.34384372e-03
6.71006499e+00 2.77837436e-02 1.34384372e-03
